species,date,lat,lon
Osmia bicolor,2026-05-03T12:52:51,47.647349,12.174019
Bombus terrestris,2025-05-01,47.648709,12.18647
Ceratina cyanea,2025-05-11T00:00,47.647408,12.174055
Osmia bicornis,2025-05-11T00:00,47.647308,12.174277
Bombus pascuorum,2025-05-13,47.55151,12.101389
Apis mellifera,2025-05-31,47.5442,12.29165
Apis mellifera,2025-05-21T13:13,47.534133,12.150612
Bombus pascuorum,2025-05-13,47.55151,12.101389
Bombus lapidarius,2025-05-11,47.667755,12.169619
Bombus pascuorum,2024-05-30,47.647436,12.173586
Bombus pascuorum,2024-05-30T12:28:04,47.647672,12.173783
Osmia bicornis,2024-05-30T00:00,47.647308,12.174277
Osmia bicornis,2024-05-26T00:00,47.647308,12.174277
Bombus hypnorum,2024-05-19T00:00,47.647308,12.174277
Bombus pascuorum,2024-05-19T00:00,47.621822,12.09629
Bombus pascuorum,2024-05-26T00:00,47.647308,12.174277
Bombus lapidarius,2024-05-19T00:00,47.621822,12.09629
Heriades truncorum,2024-05-30T00:00,47.647308,12.174277
Xylocopa violacea,2024-05-19T00:00,47.647308,12.174277
Anthidium manicatum,2024-05-30T00:00,47.647308,12.174277
Apis mellifera,2024-05-26T00:00,47.647308,12.174277
Apis mellifera,2024-05-20T00:00,47.662464,12.160104
Bombus pascuorum,2024-05-30T00:00,47.647308,12.174277
Hylaeus communis,2024-05-30T00:00,47.647308,12.174277
Xylocopa violacea,2024-05-26T00:00,47.647308,12.174277
Bombus pratorum,2023-05-07T16:27,47.589597,12.177937
Bombus pascuorum,2023-05-20,47.613333,12.168333
Bombus pascuorum,2023-05-20,47.61333,12.16833
Bombus bohemicus,2023-05-21T00:00,47.647308,12.174277
Osmia bicornis,2023-05-21T00:00,47.647308,12.174277
Apis mellifera,2022-05-25T19:32:48,47.508945,12.116151
Bombus hypnorum,2022-05-30T00:00,47.647308,12.174277
Bombus pascuorum,2021-05-16T00:00,47.632748,12.113511
Bombus lapidarius,2021-05-16T00:00,47.632748,12.113511
Bombus lapidarius,2015-05-29T00:00,47.566277,12.162766
Bombus lucorum,1989-05,47.580002,12.17
Nomada moeschleri,1988-05-24,47.650002,12.25
Bombus lapidarius,1981-05-07,47.580002,12.17
Andrena apicata,1945-05-13,47.549999,12.25
