date,temp_max,rain_sum,wind_max
1945-05-13,26.6,0.0,6.9
1981-05-07,17.0,0.0,7.1
1988-05-24,21.1,0.0,7.6
2015-05-29,22.4,0.2,5.8
2021-05-16,16.4,11.2,7.5
2022-05-25,16.5,8.0,7.0
2022-05-30,14.1,2.5,9.2
2023-05-07,21.6,2.0,7.9
2023-05-20,23.2,0.0,12.0
2023-05-21,25.5,0.1,7.4
2024-05-19,20.6,4.5,11.4
2024-05-20,23.6,0.0,11.3
2024-05-26,21.9,1.7,6.6
2024-05-30,20.2,11.3,12.1
2025-05-01,24.1,0.0,8.1
2025-05-11,19.8,0.0,11.4
2025-05-13,17.8,0.0,11.9
2025-05-18,16.9,18.6,11.2
2025-05-21,19.5,3.7,8.6
2025-05-31,27.8,0.0,5.3
2026-05-03,27.8,0.0,11.9
